FIGHTER_A,FIGHTER_B,Result,A Win,B Win,A_WIN_DIFF,A_FINISH_DIFF,A_AVG_ODDS,A_CUMULATIVE_RDS,A_STR_ACCURACY_DIFF,A_AVG_TD_ACCURACY,A_AVG_TD_DEFENCE,A_CTRL_TIME_DIFF,A_KD_PER_RD_DIFF,A_STR_PER_RD_DIFF,A_STR_ATTEMPT_PER_RD_DIFF,A_TD_PER_RD_DIFF,A_TD_ATTEMPT_PER_RD_DIFF,A_SUB_ATTEMPT_PER_RD_DIFF,B_WIN_DIFF,B_FINISH_DIFF,B_AVG_ODDS,B_CUMULATIVE_RDS,B_STR_ACCURACY_DIFF,B_AVG_TD_ACCURACY,B_AVG_TD_DEFENCE,B_CTRL_TIME_DIFF,B_KD_PER_RD_DIFF,B_STR_PER_RD_DIFF,B_STR_ATTEMPT_PER_RD_DIFF,B_TD_PER_RD_DIFF,B_TD_ATTEMPT_PER_RD_DIFF,B_SUB_ATTEMPT_PER_RD_DIFF,A_HEIGHT_DIFF,A_REACH_DIFF,A_AGE_DIFF,A_CUMULATIVE_RDS_DIFF
Sean Strickland,Alex Pereira,0,1.77,2.1,9,3,1.78,43.00,0.05,0.37,0.87,0.06,0.05,7.67,9.67,0.21,-0.49,0.09,2.00,1.00,1.42,5.00,0.27,0.00,0.74,-0.44,0.20,11.40,7.80,-0.80,-3.00,0.00,-3,-3,-4,38.00
Jessica-Rose Clark,Julija Stoliarenko,0,1.67,2.35,1,0,1.77,19.00,0.10,0.54,0.67,0.20,0.00,1.95,-5.74,0.21,0.00,0.00,-4.00,-1.00,3.05,12.00,-0.22,0.08,0.56,-0.42,0.00,-7.50,-4.67,-0.17,0.00,0.25,-2,-2,6,7.00
Bryan Barberena,Robbie Lawler,1,1.82,2.02,2,2,2.74,37.00,-0.03,0.10,0.73,-0.14,0.08,3.70,12.54,-1.05,-2.30,-0.08,4.00,3.00,2.58,55.00,0.11,0.19,0.73,-0.16,0.07,-4.73,-18.51,-0.56,-1.67,-0.05,1,-2,-7,-18.00
Maycee Barber,Jessica Eye,1,1.3,3.75,3,3,1.68,17.00,0.08,0.17,0.64,-0.04,-0.06,6.06,9.12,0.18,0.82,0.00,-4.00,0.00,2.76,45.00,-0.07,0.21,0.70,-0.11,-0.04,-1.07,5.00,-0.22,-0.53,-0.02,-1,-1,-12,-28.00
Max Holloway,Alexander Volkanovski,0,2.55,1.57,13,10,1.89,80.00,0.06,0.18,0.86,-0.04,0.10,12.96,18.36,-0.20,-1.73,0.08,11.00,4.00,1.66,37.00,0.20,0.32,0.74,0.25,0.11,15.84,14.51,0.41,0.97,0.00,5,-2,-3,43.00
Donald Cerrone,Jim Miller,0,2.6,1.54,10,8,1.92,79.00,0.00,0.28,0.95,0.02,0.14,-0.94,-0.94,0.22,0.18,0.10,8.00,10.00,2.19,87.00,0.01,0.40,0.67,0.01,0.03,-0.63,-2.02,-0.03,0.13,0.33,5,2,0,-8.00
Ian Garry,Gabe Green,1,1.53,2.65,2,1,1.25,4.00,0.10,0.00,0.84,-0.09,0.25,7.50,11.25,-0.25,-1.00,0.00,1.00,1.00,1.68,8.00,-0.06,0.33,0.39,-0.10,0.13,-1.63,4.75,-0.38,-1.13,0.00,5,1,-4,-4.00
Brad Tavares,Dricus Du Plessis,0,2.6,1.54,8,-1,1.87,55.00,-0.03,0.17,0.83,-0.04,-0.04,2.04,4.78,-0.07,-0.69,-0.15,2.00,2.00,1.68,3.00,0.17,0.25,1.00,0.11,0.67,9.00,10.33,0.67,1.33,0.00,0,-2,7,52.00
Brad Riddell,Jalin Turner,0,2.3,1.67,3,-1,1.92,15.00,0.05,0.57,0.71,-0.10,0.07,5.80,6.60,-0.40,-1.13,-0.13,3.00,4.00,2.20,12.00,-0.09,0.43,0.89,0.14,0.25,7.42,22.42,-0.25,-1.83,0.33,-8,-6,4,3.00
Uriah Hall,Andre Muniz,0,3.75,1.3,2,5,2.28,42.00,0.00,0.18,0.75,-0.17,0.12,-2.62,-8.05,-0.24,-0.74,-0.02,4.00,3.00,1.93,6.00,0.01,0.37,0.50,-0.02,0.00,-1.17,-1.50,0.67,1.50,1.17,-1,1,6,36.00
Israel Adesanya,Jared Cannonier,1,1.18,5.25,10,4,1.46,43.00,0.13,0.00,0.83,-0.14,0.28,6.28,4.91,-0.42,-1.81,0.07,3.00,4.00,2.29,30.00,0.12,0.15,0.74,-0.15,0.00,2.07,-6.77,-0.60,-1.80,-0.07,5,3,-5,13.00
Thiago Moises,Christos Giagos,1,1.4,3.1,0,-1,2.88,22.00,-0.11,0.23,0.75,-0.12,-0.05,-8.68,-16.36,-0.18,-0.36,0.23,0.00,-1.00,2.90,22.00,-0.09,0.33,0.67,0.15,-0.05,-0.23,5.55,0.55,1.45,-0.05,-1,-1,-5,0.00
Mateusz Gamrot,Arman Tsarukyan,1,2.95,1.43,2,3,1.39,8.00,0.37,0.44,1.00,0.29,0.00,4.25,1.63,1.50,3.50,0.13,4.00,2.00,1.71,15.00,0.07,0.38,0.93,0.25,0.07,11.00,19.20,0.80,1.60,0.00,3,-2,6,-7.00
Shayilan Nuerdanbieke,TJ Brown,1,2.7,1.5,0,0,3.20,6.00,-0.26,0.32,0.50,0.39,0.00,-9.00,-8.00,0.67,3.17,-0.17,0.00,-1.00,1.94,11.00,-0.01,0.56,0.50,0.20,-0.09,4.00,11.64,0.91,1.73,0.00,-1,-3,-4,-5.00
Brian Kelleher,Mario Bautista,0,2.6,1.54,2,1,2.79,29.00,-0.04,0.31,0.75,0.08,0.03,-5.31,-8.38,0.10,0.07,0.00,1.00,-1.00,2.50,11.00,-0.02,0.33,0.74,0.03,-0.09,5.36,7.00,0.00,-0.55,-0.18,-3,-3,7,18.00
Umar Nurmagomedov,Nate Maness,1,1.11,7,2,2,1.15,3.00,0.51,0.33,1.00,0.37,0.00,11.67,6.00,2.00,5.33,0.67,3.00,2.00,2.27,7.00,-0.09,0.83,0.91,-0.29,0.14,-7.86,-10.71,0.00,-2.71,0.00,-2,-3,-5,-4.00
Tafon Nchukwi,Carlos Ulberg,0,1.67,2.3,0,-1,1.86,12.00,0.09,0.38,0.79,0.05,0.00,12.42,15.08,0.00,-0.58,-0.17,0.00,-1.00,1.40,5.00,0.18,0.50,1.00,0.03,-0.20,23.40,30.00,0.40,0.20,0.00,-4,0,-4,7.00
Vanessa Demopoulos,Jinh Yu Frey,1,2.85,1.44,0,1,2.91,4.00,-0.24,0.00,0.75,-0.33,-0.25,-7.25,5.50,-0.25,0.75,0.50,0.00,-1.00,2.58,12.00,-0.06,0.23,0.96,0.08,0.00,-5.75,-10.00,0.08,-1.00,0.08,-1,-6,-3,-8.00
Shavkat Rakhmonov,Neil Magny,1,1.21,4.75,3,3,1.47,4.00,0.10,0.44,1.00,0.03,0.25,5.50,7.25,0.50,0.25,0.50,12.00,1.00,2.10,72.00,-0.02,0.39,0.64,-0.11,-0.08,6.96,14.28,0.22,0.57,0.00,-2,-3,-7,-68.00
Rodolfo Vieira,Chris Curtis,0,1.95,1.87,2,2,1.32,8.00,-0.03,0.64,1.00,0.44,0.00,-5.63,-16.50,1.50,2.50,0.13,2.00,2.00,3.50,3.00,0.06,0.00,1.00,0.04,0.67,-3.00,-11.67,0.00,-2.00,-0.33,2,-2,-2,5.00
JP Buys,Cody Durden,0,1.85,1.97,-2,-1,3.75,5.00,-0.28,0.07,0.35,-0.47,-1.40,-7.40,-4.80,-0.80,0.20,0.60,-2.00,-2.00,2.15,8.00,-0.04,0.66,0.67,0.21,-0.13,-2.63,-1.88,1.00,2.63,-0.25,-2,0,-5,-3.00
Sergey Morozov,Raulian Paiva,1,1.65,2.35,-1,-2,2.88,7.00,-0.08,0.19,0.85,0.14,-0.29,-0.86,-4.29,0.29,1.14,-0.43,0.00,-1.00,2.52,13.00,-0.15,0.06,0.78,-0.02,-0.08,-4.00,-0.77,-0.62,-1.69,0.08,-2,-2,6,-6.00
Josh Parisian,Alan Baudot,1,1.74,2.15,-1,-1,1.84,9.00,-0.03,0.05,0.58,-0.36,0.00,-1.33,2.11,-0.78,-0.33,-0.22,-3.00,-2.00,4.35,6.00,-0.07,0.00,0.58,-0.35,0.00,1.67,-0.67,-0.50,-2.00,0.00,1,0,-1,3.00
Albert Duraev,Joaquin Buckley,0,1.45,2.8,1,0,1.29,3.00,0.06,0.11,0.50,0.34,-0.33,9.67,15.67,0.00,2.33,0.33,2.00,1.00,2.35,14.00,-0.12,0.21,0.88,0.08,0.07,0.21,10.57,0.29,1.07,0.00,1,-1,5,-11.00
Danny Chavez,Ricardo Ramos,0,3.7,1.3,1,0,1.97,9.00,-0.13,0.73,0.91,-0.18,0.00,-4.89,-1.56,0.44,-0.67,0.00,3.00,0.00,1.69,21.00,-0.08,0.37,0.83,0.02,0.05,-2.43,-2.10,0.52,0.33,0.14,-1,-5,8,-12.00
Kevin Holland,Tim Means,1,1.29,3.85,6,5,1.75,36.00,0.08,0.31,0.63,-0.14,0.11,5.31,3.72,-0.78,-1.56,-0.25,5.00,3.00,1.70,54.00,0.10,0.27,0.73,0.02,0.11,6.69,5.43,-0.31,-1.06,-0.04,1,6,-8,-18.00
Adrian Yanez,Tony Kelley,1,1.33,3.5,4,3,1.37,9.00,-0.02,0.00,1.00,-0.07,0.44,2.89,9.56,0.00,-0.56,0.00,1.00,1.00,2.52,8.00,-0.06,0.00,0.56,-0.17,0.00,5.63,17.50,-1.25,-2.50,0.38,-2,0,-6,1.00
Damir Ismagulov,Guram Kutateladze,1,1.45,2.8,4,0,1.29,12.00,0.11,0.28,1.00,0.30,0.00,9.25,15.33,0.58,1.25,-0.08,1.00,0.00,3.30,3.00,0.02,0.00,0.69,-0.23,0.33,-5.00,-13.33,-1.67,-5.00,0.00,-1,2,1,9.00
Julian Marquez,Gregory Rodrigues,0,2.47,1.6,2,3,1.58,10.00,-0.01,0.00,0.56,-0.27,0.10,3.70,9.40,-1.30,-1.80,0.90,1.00,1.00,1.95,8.00,0.11,0.59,1.00,0.15,0.00,-2.50,-10.88,0.88,1.00,0.25,-1,-3,2,2.00
Maria Oliveira,Gloria de Paula,1,1.33,3.5,-1,0,3.20,3.00,-0.09,0.00,0.55,-0.44,0.00,1.33,14.33,-1.67,-3.67,0.00,-1.00,-1.00,1.92,7.00,0.09,0.07,0.45,-0.30,-0.14,0.29,-14.43,-0.29,0.00,-0.29,1,2,-1,-4.00
Calvin Kattar,Josh Emmett,0,1.41,3.05,4,4,2.19,31.00,-0.01,0.19,0.93,0.01,0.16,-11.58,-16.35,0.10,-0.06,0.03,6.00,2.00,2.11,25.00,0.02,0.22,0.85,0.05,0.40,0.88,-0.36,0.20,0.36,0.04,5,2,-3,6.00
Deron Winn,Phil Hawes,0,3.1,1.4,0,-1,1.87,12.00,-0.03,0.41,0.50,0.29,-0.08,-2.08,-1.92,1.42,2.83,-0.08,2.00,0.00,1.72,8.00,0.21,0.27,1.00,0.22,0.00,5.75,5.38,0.75,0.88,0.13,-6,-7,0,4.00
Cody Stamann,Eddie Wineland,1,1.15,5.85,2,-2,2.23,27.00,0.04,0.38,0.68,0.12,0.00,3.00,-2.78,0.41,0.07,-0.19,-3.00,1.00,2.89,33.00,-0.14,0.16,0.97,-0.01,0.12,-3.27,3.12,0.00,-0.97,0.00,-1,-5,-5,-6.00
Court McGee,Jeremiah Wells,0,3.1,1.43,1,1,1.97,54.00,-0.01,0.25,0.80,0.19,-0.04,4.91,15.54,0.35,1.57,0.07,2.00,2.00,2.32,3.00,-0.01,0.10,1.00,0.76,0.33,6.67,17.00,0.33,2.33,0.00,2,1,2,51.00
Roman Dolidze,Kyle Daukaus,1,3.3,1.37,2,1,1.69,10.00,0.21,0.37,0.48,0.28,0.10,4.70,4.20,0.40,0.90,0.40,-1.00,1.00,2.15,11.00,0.01,0.32,0.90,0.32,-0.09,-0.55,3.45,0.64,1.64,0.45,-1,0,5,-1.00
Batgerel Danaa,Kyung Ho Kang,0,1.95,1.87,1,2,1.73,8.00,0.01,0.20,0.92,0.00,0.25,7.88,25.88,-0.25,-0.63,0.00,3.00,3.00,1.76,26.00,0.00,0.55,0.73,0.17,0.08,1.00,0.38,0.38,0.12,0.19,-2,-3,-2,-18.00
Valentina Shevchenko,Taila Santos,1,1.18,5.25,9,6,1.45,46.00,0.21,0.75,0.88,0.22,0.02,6.33,3.98,0.67,0.61,0.07,3.00,1.00,1.80,13.00,0.11,0.74,0.92,0.33,0.23,5.69,5.54,0.77,-0.08,0.38,-1,-2,5,33.00
Zhang Weili,Joanna Jedrzejczyk,1,1.61,2.45,3,1,1.69,19.00,0.08,0.24,0.86,0.07,0.00,6.05,14.58,0.42,1.42,0.05,6.00,1.00,1.84,55.00,0.09,0.15,0.83,-0.15,-0.02,15.87,22.20,-0.35,-2.22,-0.02,-2,-2,-2,-36.00
Brendan Allen,Jacob Malkoun,1,1.34,3.45,4,2,1.73,16.00,0.01,0.21,0.68,0.11,0.00,-0.44,-0.81,-0.06,0.19,0.38,1.00,-1.00,2.80,7.00,-0.18,0.23,1.00,0.44,-0.14,3.86,5.29,2.00,5.71,0.29,5,2,0,9.00
Ramona Pascual,Joselyne Edwards,0,2.45,1.61,-1,0,3.35,3.00,0.08,0.30,1.00,0.20,-0.67,-15.33,-40.67,1.00,3.33,0.00,-1.00,0.00,2.27,9.00,-0.01,0.11,0.46,-0.53,0.00,2.56,5.00,-1.00,-1.44,0.11,-1,-4,7,-6.00
Josh Culibao,SeungWoo Choi,1,2.75,1.48,-1,-1,2.93,8.00,0.00,0.00,0.95,-0.32,0.13,-0.63,0.13,-0.25,-0.50,-0.63,0.00,-1.00,2.30,15.00,-0.17,0.28,0.83,-0.14,0.20,2.13,15.13,-0.60,-2.13,-0.27,-2,-1,-2,-7.00
Andre Fialho,Jake Matthews,0,1.97,1.85,1,2,2.37,5.00,0.02,0.00,0.92,0.01,0.40,-11.20,-15.20,-0.20,-0.80,0.00,5.00,1.00,1.58,37.00,0.02,0.37,0.76,0.10,0.08,4.00,5.00,0.43,0.95,-0.03,1,1,0,-32.00
Jack Della Maddalena,Ramazan Emeev,1,1.58,2.52,1,1,1.24,1.00,0.17,0.00,1.00,0.01,1.00,18.00,12.00,0.00,0.00,0.00,3.00,0.00,1.43,21.00,0.12,0.33,0.61,0.20,0.05,2.52,-2.48,0.52,1.90,0.10,1,-3,-9,-20.00
Silvana Gomez Juarez,Liang Na,1,2.05,1.8,-2,-2,3.35,2.00,-0.20,0.00,0.59,-0.16,0.50,-1.00,3.00,-2.50,-3.00,-1.50,-1.00,-1.00,2.78,2.00,-0.05,0.75,1.00,0.03,0.00,-2.50,-2.50,1.50,2.00,0.50,-2,-2,12,0.00
Jiri Prochazka,Glover Teixeira,1,1.44,2.85,2,2,2.33,4.00,-0.01,0.50,0.50,0.04,0.50,1.50,2.25,0.00,-0.25,-0.25,11.00,11.00,2.12,51.00,0.03,0.35,0.85,0.19,0.00,-1.31,-4.94,0.04,0.10,0.22,1,4,-13,-47.00
Tony Gravely,Johnny Munoz,1,1.8,2.05,1,-1,1.61,13.00,-0.03,0.53,0.62,0.42,0.15,0.00,2.54,1.54,2.77,-0.62,0.00,1.00,1.63,5.00,0.11,0.39,0.50,0.41,0.00,7.00,12.40,0.60,3.60,0.80,-4,-2,2,8.00
Felice Herrig,Karolina Kowalkiewicz,0,1.95,1.87,1,1,2.44,22.00,-0.07,0.41,0.77,0.03,0.00,-5.59,1.09,0.14,0.36,0.09,-2.00,-3.00,2.50,32.00,-0.03,0.13,0.64,-0.16,-0.03,-1.91,1.53,-0.34,-1.28,-0.09,1,1,1,-10.00
Erin Blanchfield,JJ Aldrich,1,1.23,4.45,2,0,1.73,6.00,0.28,0.94,1.00,0.72,0.00,17.33,16.83,1.67,1.50,0.17,4.00,-1.00,2.05,29.00,0.06,0.18,0.80,0.08,0.00,-2.00,-12.79,0.00,-0.24,0.00,-1,-1,-7,-23.00
Alexander Volkov,Jairzinho Rozenstruik,1,1.54,2.6,4,2,2.05,37.00,0.09,0.29,0.82,-0.15,0.03,8.76,9.30,-0.38,-1.84,-0.03,3.00,5.00,2.25,21.00,0.18,0.00,0.87,-0.13,0.24,-1.10,1.71,-0.43,-1.71,0.00,5,2,0,16.00
Jeff Molina,Zhalgas Zhumagulov,1,1.57,2.55,2,1,1.75,5.00,0.02,0.00,0.63,0.18,0.60,20.00,27.00,-0.60,-1.00,0.00,-2.00,0.00,2.32,8.00,-0.01,0.13,0.84,-0.04,-0.25,-2.25,-6.00,0.13,1.25,0.13,2,3,-9,-3.00
Ode Osbourne,Zarrukh Adashev,1,1.44,2.85,0,-1,1.82,6.00,-0.03,0.04,0.88,-0.19,0.00,-1.67,7.17,0.00,0.83,-0.17,-1.00,-1.00,3.22,7.00,-0.08,0.00,1.00,-0.03,-0.29,2.71,1.86,0.00,0.57,0.14,2,8,0,-1.00
Movsar Evloev,Dan Ige,1,1.25,4.25,5,0,1.39,15.00,0.11,0.47,0.84,0.31,0.00,7.67,9.60,0.80,0.93,-0.07,3.00,3.00,2.03,31.00,0.04,0.34,0.74,0.06,0.03,1.10,-0.55,0.06,0.97,-0.13,0,1,-3,-16.00
Joe Solecki,Alex Da Silva,1,1.53,2.65,2,1,1.62,10.00,0.11,0.41,0.88,0.53,0.00,4.50,4.50,0.80,1.60,0.10,-1.00,-1.00,2.49,8.00,-0.09,0.47,0.78,0.44,0.00,-2.75,-7.13,0.63,0.88,0.00,1,-3,3,2.00
Niklas Stolze,Benoit Saint Denis,0,2.45,1.61,-2,-1,2.96,4.00,-0.04,0.50,0.33,-0.37,-0.25,-1.50,-1.25,-1.00,-3.00,-0.50,-1.00,0.00,3.25,3.00,-0.12,0.14,1.00,-0.01,0.00,-27.33,-37.00,0.67,3.33,0.00,2,1,3,1.00
Jailton Almeida,Parker Porter,1,1.22,4.6,1,1,1.27,1.00,0.59,1.00,1.00,0.95,0.00,30.00,51.00,2.00,2.00,0.00,2.00,-1.00,2.28,10.00,-0.07,0.22,1.00,0.18,-0.20,1.20,2.30,0.50,2.00,0.10,3,4,-6,-9.00
Vince Morales,Jonathan Martinez,0,3.3,1.37,0,0,2.70,15.00,-0.10,0.04,0.70,-0.04,0.00,0.60,10.07,-0.33,-0.53,0.00,3.00,1.00,1.90,26.00,0.05,0.22,0.81,0.03,0.04,3.62,1.50,-0.15,-0.69,-0.08,-1,0,4,-11.00
Junyong Park,Eryk Anders,1,1.54,2.6,1,-2,1.95,13.00,0.01,0.38,0.67,0.11,0.00,4.15,7.69,0.15,0.15,0.08,0.00,1.00,1.82,33.00,-0.02,0.18,0.79,0.09,0.06,-3.67,-6.55,0.18,0.36,-0.06,-3,-2,-4,-20.00
Chase Hooper,Felipe Colares,1,2.52,1.58,0,2,1.55,10.00,-0.10,0.18,0.50,0.06,-0.10,-4.10,7.60,0.20,1.70,0.30,-1.00,0.00,3.56,15.00,-0.21,0.22,0.56,-0.12,-0.13,-11.93,-10.40,-0.80,0.27,0.13,5,5,-5,-5.00
Uros Medic,Omar Morales,1,2.25,1.69,0,0,1.67,2.00,0.36,0.00,0.50,-0.07,0.50,13.00,12.00,-0.50,-1.50,-0.50,1.00,-1.00,1.56,14.00,0.03,0.40,0.85,-0.06,0.00,1.57,4.93,-0.29,-1.07,-0.07,2,-2,-8,-12.00
Michel Pereira,Santiago Ponzinibbio,1,1.71,2.2,3,2,1.79,19.00,0.14,0.59,1.00,0.00,0.11,6.95,2.11,0.58,0.32,0.11,6.00,3.00,1.94,32.00,0.03,0.11,0.77,-0.01,0.19,1.28,-0.28,-0.19,-0.41,0.00,1,0,-7,-13.00
Polyana Viana,Tabatha Ricci,0,2.1,1.77,0,2,1.75,10.00,-0.12,0.28,0.67,-0.20,-0.10,2.80,8.70,0.10,0.50,0.80,0.00,-1.00,3.07,5.00,-0.11,0.23,0.50,0.18,-0.20,-14.20,-25.00,0.80,2.20,0.00,4,6,3,5.00
Holly Holm,Ketlen Vieira,0,1.45,2.8,2,0,2.32,43.00,0.05,0.24,0.91,0.13,0.02,1.74,7.95,0.12,0.23,-0.02,4.00,0.00,1.84,23.00,-0.06,0.45,0.96,0.16,-0.04,-4.96,-4.48,0.48,0.35,0.13,0,1,10,20.00
Elise Reed,Sam Hughes,0,1.77,2.1,0,-1,3.98,4.00,-0.07,0.00,0.54,-0.60,0.00,-1.25,-14.00,-1.00,-2.25,0.00,-2.00,-1.00,4.15,10.00,-0.02,0.10,0.46,0.14,-0.10,-8.70,-17.60,-0.50,-0.40,-0.10,-2,-1,0,-6.00
Alen Amedovski,Joseph Holmes,0,2.65,1.53,-2,-1,2.34,4.00,-0.36,0.00,0.50,-0.37,-0.25,-10.00,-12.25,-1.00,-1.00,0.00,-1.00,0.00,1.71,3.00,0.14,0.00,0.50,0.01,0.00,0.33,-9.67,-0.67,-0.67,0.00,-6,-6,7,1.00
Dusko Todorovic,Chidi Njokuani,0,3.5,1.33,0,1,1.51,7.00,0.05,0.38,0.85,0.22,-0.29,6.71,11.14,-0.14,0.14,-0.14,1.00,1.00,1.91,1.00,0.00,0.00,1.00,0.25,1.00,9.00,9.00,0.00,0.00,0.00,-2,-6,-6,6.00
Ryan Spann,Ion Cutelaba,1,2.95,1.43,3,1,1.86,12.00,-0.05,0.25,0.85,0.13,0.17,0.00,4.17,-0.08,-0.08,0.17,1.00,-1.00,2.11,22.00,-0.02,0.25,0.89,0.08,0.00,6.18,20.77,0.95,0.73,-0.09,4,4,2,-10.00
Davey Grant,Louis Smolka,1,1.36,3.35,-1,-1,2.58,23.00,0.07,0.32,0.77,-0.02,-0.04,3.52,6.00,0.17,0.30,-0.26,0.00,2.00,2.01,34.00,-0.01,0.26,0.51,0.04,-0.09,2.94,6.35,-0.65,-0.29,-0.03,-1,1,6,-11.00
Aleksandar Rakic,Jan Blachowicz,0,1.5,2.7,5,2,1.52,17.00,0.02,0.12,0.98,0.27,0.18,9.41,15.41,0.12,-0.24,0.06,5.00,4.00,2.54,46.00,0.09,0.36,0.74,-0.11,0.11,3.65,5.43,0.02,-0.30,0.00,2,0,-9,-29.00
Andrea Lee,Viviane Araujo,0,1.79,2.07,2,2,1.87,22.00,0.17,0.41,0.56,-0.01,0.00,9.82,4.41,-0.18,-0.68,0.18,2.00,1.00,1.88,18.00,0.08,0.60,0.97,0.06,0.06,-1.61,-13.39,0.61,0.06,0.11,2,1,-3,4.00
Michael Johnson,Alan Patrick,1,1.61,2.43,-2,-3,2.02,61.00,-0.02,0.27,0.87,-0.13,0.11,1.80,8.25,-0.18,-1.13,-0.18,2.00,-1.00,2.21,23.00,-0.08,0.31,0.76,0.15,-0.04,-5.26,-3.65,0.65,2.13,-0.04,-1,-1,-3,38.00
Nick Maximov,Andre Petroski,0,1.28,4,2,0,2.11,6.00,-0.12,0.47,1.00,0.49,0.00,-5.00,-5.17,2.50,5.00,0.00,2.00,2.00,1.35,6.00,0.15,0.47,1.00,0.61,0.00,10.33,10.83,1.33,2.83,1.17,0,3,-6,0.00
Virna Jandiroba,Angela Hill,1,1.45,2.8,0,3,2.18,14.00,-0.05,0.53,0.90,0.21,0.07,-3.64,-7.29,0.29,0.14,0.36,-3.00,0.00,2.26,54.00,0.10,0.25,0.66,-0.06,0.04,2.04,-13.15,-0.17,-1.00,0.00,0,0,-3,-40.00
Amanda Ribas,Katlyn Chookagian,0,2.6,1.54,4,1,1.75,14.00,0.12,0.66,0.81,0.28,-0.14,10.71,16.14,0.43,0.14,0.43,6.00,-2.00,2.31,40.00,-0.04,0.09,0.63,-0.09,0.00,1.40,5.85,-0.35,-0.40,0.10,-6,-2,-5,-26.00
Tracy Cortez,Melissa Gatto,1,1.87,1.95,3,0,1.47,9.00,0.18,0.47,0.95,0.50,-0.11,6.67,2.00,0.78,1.33,0.11,2.00,2.00,2.13,5.00,0.15,0.10,0.88,-0.17,0.20,6.00,3.80,0.00,-0.20,0.00,0,-4,3,4.00
Danny Roberts,Francisco Trinaldo,0,1.74,2.15,3,0,2.03,23.00,-0.09,0.04,0.63,-0.11,-0.04,0.96,3.52,-0.65,-0.91,-0.35,10.00,5.00,2.08,62.00,0.05,0.31,0.66,0.02,0.02,2.02,1.73,-0.15,-0.44,0.08,4,4,-9,-39.00
Charles Oliveira,Justin Gaethje,1,1.74,2.15,12,11,1.98,56.00,0.07,0.43,0.77,-0.02,0.05,1.13,-0.54,0.29,0.71,0.52,3.00,2.00,2.47,22.00,0.17,0.00,0.82,0.04,0.14,-1.32,-21.50,-0.23,-0.82,-0.05,-1,4,-1,34.00
Matt Schnell,Brandon Royval,0,3.2,1.38,2,-1,2.23,17.00,-0.16,0.22,0.51,-0.20,-0.12,0.24,3.06,-0.29,-0.47,0.24,1.00,0.00,2.22,10.00,-0.13,0.40,0.44,-0.33,0.10,2.40,14.70,-1.50,-2.60,0.20,-1,2,2,7.00
Khaos Williams,Randy Brown,0,1.91,1.91,3,3,1.96,11.00,-0.11,0.00,0.80,0.07,0.27,6.18,23.91,-0.18,-0.18,-0.55,4.00,2.00,1.94,29.00,0.03,0.38,0.79,-0.03,0.03,4.62,9.28,-0.14,-0.76,-0.03,-3,-1,-4,-18.00
Loopy Godinez,Ariane Carnelossi,1,1.54,2.6,0,1,1.45,10.00,0.21,0.43,0.84,0.39,0.00,-0.50,-6.00,1.30,3.30,0.20,1.00,1.00,1.72,8.00,-0.08,0.24,0.75,0.16,0.00,-5.13,-0.50,0.25,0.50,0.00,0,0,-1,2.00
Rose Namajunas,Carla Esparza,0,1.43,2.95,6,3,2.24,34.00,0.02,0.46,0.75,0.13,0.12,0.59,0.03,0.12,0.09,0.18,5.00,0.00,2.30,37.00,0.00,0.42,0.80,0.18,0.00,-1.97,-2.41,0.65,2.11,0.03,4,2,-5,-3.00
Tony Ferguson,Michael Chandler,0,3.75,1.3,11,10,1.48,46.00,0.06,0.22,0.76,-0.13,-0.02,6.41,9.91,-0.24,-0.85,0.24,-1.00,0.00,2.43,6.00,-0.04,0.05,0.83,0.03,-0.33,0.33,15.00,0.00,0.67,0.17,3,5,2,40.00
Mauricio Rua,Ovince Saint Preux,0,3,1.42,2,1,2.14,56.00,0.01,0.24,0.64,0.00,0.16,-0.30,-3.11,-0.13,0.02,-0.11,2.00,5.00,2.12,54.00,-0.07,0.22,0.87,0.00,0.00,-3.91,-2.07,-0.17,-0.48,-0.04,-2,-4,2,2.00
Macy Chiasson,Norma Dumont,1,2.8,1.45,3,2,1.45,16.00,-0.09,0.27,0.81,0.21,0.13,6.44,17.19,0.00,0.44,-0.06,2.00,-1.00,2.52,12.00,0.09,0.54,1.00,0.13,0.00,8.58,4.92,0.42,0.25,0.00,4,5,-1,4.00
Blagoy Ivanov,Marcos Rogerio de Lima,1,1.68,2.27,-1,0,2.22,17.00,0.00,0.37,0.93,0.01,0.06,-4.18,-5.35,0.29,0.41,0.06,3.00,1.00,2.10,19.00,0.19,0.10,0.74,0.12,0.26,6.84,9.21,0.00,-0.21,-0.11,-2,-2,-1,-2.00
Rob Font,Marlon Vera,0,1.89,1.93,5,5,1.89,32.00,0.07,0.34,0.59,-0.02,0.13,9.81,17.91,-0.22,-0.31,0.09,6.00,10.00,2.10,44.00,0.02,0.30,0.77,-0.14,0.14,-0.84,-3.11,-0.11,-0.59,0.39,0,1,5,-12.00
Joanderson Brito,Andre Fili,1,3,1.42,-1,0,1.65,3.00,-0.12,0.50,0.00,-0.01,0.00,-6.33,-4.67,0.00,0.67,0.00,2.00,0.00,1.87,42.00,-0.10,0.46,0.78,-0.04,0.02,-0.29,10.00,0.29,0.02,-0.12,-3,-2,-5,-39.00
