FIGHTER_A,FIGHTER_B,Result,A Win,B Win,A_WIN_DIFF,A_FINISH_DIFF,A_AVG_ODDS,A_CUMULATIVE_RDS,A_STR_ACCURACY_DIFF,A_AVG_TD_ACCURACY,A_AVG_TD_DEFENCE,A_CTRL_TIME_DIFF,A_KD_PER_RD_DIFF,A_STR_PER_RD_DIFF,A_STR_ATTEMPT_PER_RD_DIFF,A_TD_PER_RD_DIFF,A_TD_ATTEMPT_PER_RD_DIFF,A_SUB_ATTEMPT_PER_RD_DIFF,B_WIN_DIFF,B_FINISH_DIFF,B_AVG_ODDS,B_CUMULATIVE_RDS,B_STR_ACCURACY_DIFF,B_AVG_TD_ACCURACY,B_AVG_TD_DEFENCE,B_CTRL_TIME_DIFF,B_KD_PER_RD_DIFF,B_STR_PER_RD_DIFF,B_STR_ATTEMPT_PER_RD_DIFF,B_TD_PER_RD_DIFF,B_TD_ATTEMPT_PER_RD_DIFF,B_SUB_ATTEMPT_PER_RD_DIFF,A_HEIGHT_DIFF,A_REACH_DIFF,A_AGE_DIFF,A_CUMULATIVE_RDS_DIFF
Maryna Moroz,Carla Esparza,0,,,2,1,2.40,10.00,-0.10,0.08,0.25,-0.11,-0.10,-1.70,18.20,-0.20,0.00,0.00,0.00,0.00,1.61,11.00,-0.09,0.47,0.92,0.28,0.00,-4.45,-4.00,1.27,3.18,0.18,6,4,-4,-1.00
Dennis Siver,BJ Penn,1,1.74,2.15,4,1,2.82,46.00,-0.04,0.24,0.64,0.01,0.00,4.87,17.30,-0.20,-0.48,-0.09,0.00,3.00,2.58,45.00,0.02,0.21,0.81,-0.09,0.07,-5.51,-12.22,-0.16,-1.56,0.13,-3,0,-1,1.00
Vitor Miranda,Marvin Vettori,0,4.15,1.26,1,3,2.14,11.00,0.14,0.30,0.42,-0.40,0.00,4.55,2.73,-0.73,-1.45,-0.18,0.00,1.00,1.81,4.00,0.16,1.00,0.60,-0.43,0.00,1.75,0.00,-0.75,-3.25,0.50,1,3,14,7.00
Michael Chiesa,Kevin Lee,0,2.25,1.69,5,3,2.09,19.00,-0.07,0.45,0.87,0.12,0.05,-0.53,4.42,0.53,1.00,0.16,6.00,3.00,1.64,22.00,-0.04,0.38,0.80,0.31,-0.09,2.18,10.36,0.82,1.64,0.18,4,-2,5,-3.00
Erik Koch,Clay Guida,0,1.29,3.9,1,1,1.54,13.00,-0.09,0.07,0.91,-0.08,-0.08,-2.31,2.31,-0.23,-2.54,0.31,2.00,-2.00,2.43,54.00,0.01,0.38,0.85,0.29,0.00,-0.85,0.85,0.69,1.37,-0.13,3,1,-7,-41.00
Josh Stansbury,Jeremy Kimball,0,1.63,2.4,0,0,2.10,6.00,0.13,0.00,0.92,0.22,0.00,0.50,-8.00,-0.17,-0.67,0.33,-1.00,-1.00,2.10,1.00,-0.19,0.00,1.00,0.10,0.00,-7.00,-8.00,0.00,0.00,0.00,2,2,7,5.00
Tim Means,Alex Garcia,1,1.32,3.55,3,3,1.83,31.00,0.09,0.25,0.57,-0.10,0.16,6.23,6.16,-0.71,-1.84,0.00,2.00,1.00,1.46,14.00,0.03,0.51,0.83,0.22,0.14,-5.00,-10.43,1.14,1.64,0.00,5,3,3,17.00
Justine Kish,Felice Herrig,0,1.63,2.4,2,0,1.44,6.00,0.05,0.65,0.50,0.12,0.00,-2.17,-8.00,0.33,1.17,0.17,2.00,2.00,2.42,9.00,-0.09,0.63,0.74,0.07,0.00,-5.22,1.89,0.00,0.22,0.33,1,-1,-4,-3.00
Johnny Case,Anthony Rocco Martin,0,2.05,1.8,3,1,1.66,14.00,-0.04,0.31,0.80,0.08,0.14,6.57,16.50,0.29,-0.07,-0.14,0.00,0.00,1.81,14.00,-0.02,0.33,0.81,0.36,0.00,-2.57,-1.36,0.29,1.64,0.14,-2,-1,0,0.00
Devin Powell,Darrell Horcher,0,4.6,1.22,-1,0,3.60,3.00,-0.34,0.00,0.00,-0.53,0.00,-15.33,-10.00,-0.67,-0.67,0.00,-1.00,-1.00,7.50,2.00,-0.49,0.00,0.34,-0.64,0.00,-34.50,-39.00,-1.00,-1.50,0.00,2,3,-1,1.00
